code,description,phenotype_description,phenotype_abbreviation,esc_complexity_classification,code_terminology
308854001,Entire ostium secundum,atrial septal defect,ASD,Mild,SNOMED
301130004,Atrial septal defect murmur,atrial septal defect,ASD,Mild,SNOMED
70142008,Other specified atrial septal defect;Interatrial septal defect NEC;Interatrial septal defect;ASD - Atrial septal defect;Atrial septal defect,atrial septal defect,ASD,Mild,SNOMED
8.18681E+14,Ostium secundum atrial septal defect resolved,atrial septal defect,ASD,Mild,SNOMED
174866007,Enlarge heart septal foramen;Open enlargement of defect of atrial septum;Open enlargement of atrial septal defect;ASD - Open enlargement of atrial septal defect,atrial septal defect,ASD,Mild,SNOMED
51087002,Repair of ostium primum defect with tissue graft,atrial septal defect,ASD,Moderate,SNOMED
233006005,Repair of coronary sinus atrial septal defect to create tunnel;Repair of unroofed coronary sinus to create tunnel,atrial septal defect,ASD,Mild,SNOMED
204319006,Lutembacher syndrome;Lutembacher's syndrome,atrial septal defect,ASD,Moderate,SNOMED
310442001,Closure of atrial septal defect using sutures,atrial septal defect,ASD,Mild,SNOMED
725145002,"Atrial septal defect, atrioventricular conduction defect syndrome",atrial septal defect,ASD,Moderate,SNOMED
310443006,Closure of atrial septal defect using patch,atrial septal defect,ASD,Mild,SNOMED
46437007,Repair of ostium secundum defect with prosthesis by closed heart technique,atrial septal defect,ASD,Mild,SNOMED
253366007,Auricular septal defect NOS;Interauricular septal defect,atrial septal defect,ASD,Mild,SNOMED
310400003,Patching of coronary sinus atrial septal defect,atrial septal defect,ASD,Mild,SNOMED
24467006,Ostium secundum;Structure of ostium secundum,atrial septal defect,ASD,Mild,SNOMED
432114008,Fluoroscopic guidance for closure of atrial septal defect;Fluoroscopy guided closure of atrial septal defect;Closure of atrial septal defect using fluoroscopic guidance,atrial septal defect,ASD,Mild,SNOMED
449379004,Atrioventricular septal defect with ventricular component under inferior bridging leaflet with chords to crest ventricular septum,atrioventricular septal defect,AVSD,Moderate,SNOMED
449539009,Atrioventricular septal defect with atrioventricular valve regurgitation through right inferior bridging leaflet inferior mural commissure,atrioventricular septal defect,AVSD,Moderate,SNOMED
445002005,Atrioventricular septal defect with separate atrioventricular orifices,atrioventricular septal defect,AVSD,Moderate,SNOMED
253277003,Discordant atrioventricular connection,atrioventricular septal defect,AVSD,Moderate,SNOMED
448777006,Noncoapting atrioventricular valve leaflet in atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
448183001,Atrioventricular septal defect with ventricular component and interchordal shunting under superior bridging leaflet,atrioventricular septal defect,AVSD,Moderate,SNOMED
253415001,Atrioventricular septal defect - isolated ventricular component;Partial atrioventricular septal defect with isolated ventricular component,atrioventricular septal defect,AVSD,Moderate,SNOMED
253278008,Ambiguous atrioventricular connection,atrioventricular septal defect,AVSD,Moderate,SNOMED
448182006,Atrioventricular septal defect with ventricular component and interchordal shunting under inferior bridging leaflet,atrioventricular septal defect,AVSD,Moderate,SNOMED
448331000,Atrioventricular septal defect with restrictive ventricular component,atrioventricular septal defect,AVSD,Moderate,SNOMED
699078008,Repair of atrioventricular septal defect with atrial and ventricular components;Repair of complete atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
253422009,Atrioventricular septal defect - ventricular component under inferior bridging leaflet,atrioventricular septal defect,AVSD,Moderate,SNOMED
253438003,Common atrioventricular valve prolapse;Prolapse of atrioventricular valve leaflet in common atrioventricular junction;Prolapse of atrioventricular valve leaflet in atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
445334007,Atrioventricular septal defect with additional muscular ventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
449537006,Atrioventricular septal defect with atrioventricular valve regurgitation through right anterosuperior inferior mural commissure,atrioventricular septal defect,AVSD,Moderate,SNOMED
448118003,Atrioventricular septal defect with atrial and ventricular components and separate atrioventricular valves,atrioventricular septal defect,AVSD,Moderate,SNOMED
737156006,Congenital anomaly of atrioventricular septum,atrioventricular septal defect,AVSD,Moderate,SNOMED
253440008,Accessory tissue on common atrioventricular valve leaflet;Accessory tissue on atrioventricular valve leaflet in common atrioventricular junction;Accessory tissue on atrioventricular valve leaflet in atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
447777009,Spontaneous closure of ventricular component of atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
471279005,Recurrent atrial component of atrioventricular septal defect after prior cardiovascular surgical procedure,atrioventricular septal defect,AVSD,Moderate,SNOMED
253414002,Atrioventricular septal defect and common atrioventricular junction;Atrioventricular septal defect;AVSD - Atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
449538001,Atrioventricular septal defect with atrioventricular valve regurgitation through right anterosuperior superior bridging leaflet commissure,atrioventricular septal defect,AVSD,Moderate,SNOMED
459180002,Aneurysm of patch of atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
253446002,Atrioventricular valve chordae in atrioventricular septal defect too long;Atrioventricular valve chordae in common atrioventricular junction too long;Common atrioventricular valve chordae too long,atrioventricular septal defect,AVSD,Moderate,SNOMED
253274005,Abnormal atrioventricular connection;AV - Abnormal atrioventricular connection,atrioventricular septal defect,AVSD,Moderate,SNOMED
449457008,Atrioventricular septal defect with atrioventricular valve regurgitation through left superior bridging leaflet lateral mural commissure,atrioventricular septal defect,AVSD,Moderate,SNOMED
253374008,Congenital abnormality of atrioventricular valves in atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
253444004,Abnormality of common atrioventricular valve chords;Abnormality of atrioventricular valve chordae in atrioventricular septal defect;CT - Abnormality of common atrioventricular chordae tendinae;Abnormality of atrioventricular valve chordae in common atrioventricular junction;Abnormality of common atrioventricular valve chordae tendinae,atrioventricular septal defect,AVSD,Moderate,SNOMED
253428008,Abnormality of valve guarding common atrioventricular junction;Abnormality of common atrioventricular valve in atrioventricular septal defect;AVSD - Abnormality of common atrioventricular valve in atrioventricular septal defect;Common atrioventricular valvar abnormality,atrioventricular septal defect,AVSD,Moderate,SNOMED
253419007,Atrioventricular septal defect - Rastelli A;Atrioventricular septal defect with ventricular component under superior bridging leaflet with chords at crest ventricular septum,atrioventricular septal defect,AVSD,Moderate,SNOMED
448919005,Atrioventricular septal defect with ventricular component under superior bridging leaflet without chordal attachment to ventricular septal crest,atrioventricular septal defect,AVSD,Moderate,SNOMED
444961009,Atrioventricular septal defect with common atrioventricular orifice,atrioventricular septal defect,AVSD,Moderate,SNOMED
253416000,Atrioventricular septal defect: atrial and ventricular components;Complete atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
449456004,Atrioventricular septal defect with atrioventricular valve regurgitation through left septal commissure,atrioventricular septal defect,AVSD,Moderate,SNOMED
448626007,Gelatinous atrioventricular valve leaflet in atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
253447006,Common atrioventricular valve chordae to outlet septum;Atrioventricular valve chordae in common atrioventricular junction;Atrioventricular valve chordae to outlet septum in atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
449383004,Congenital abnormality of atrioventricular valve papillary muscle in atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
253373002,ASD1 - Primum atrial septal defect;ASD I - Primum atrial septal defect;Primum atrial septal defect;1 ASD - Primum atrial septal defect;Partial atrioventricular septal defect;Atrioventricular septal defect - isolated atrial component,atrioventricular septal defect,AVSD,Moderate,SNOMED
8703004,Repair of endocardial cushion defect with prosthesis,atrioventricular septal defect,AVSD,Moderate,SNOMED
448814004,Spontaneous closure of atrial component of atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
253445003,Common atrioventricular valve chordae too short;Atrioventricular valve chordae in common atrioventricular junction too short;Atrioventricular valve chordae in atrioventricular septal defect too short,atrioventricular septal defect,AVSD,Moderate,SNOMED
448836001,Thickened atrioventricular valve leaflet in atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
449008001,Flail atrioventricular valve leaflet in atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
471280008,Recurrent ventricular component of atrioventricular septal defect after prior cardiovascular surgical procedure,atrioventricular septal defect,AVSD,Moderate,SNOMED
233047008,Repair of atrioventricular septal defect: ventricular component,atrioventricular septal defect,AVSD,Moderate,SNOMED
449459006,Atrioventricular septal defect with atrioventricular valve regurgitation through left inferior bridging leaflet lateral mural commissure,atrioventricular septal defect,AVSD,Moderate,SNOMED
726335002,Common atrioventricular junction,atrioventricular septal defect,AVSD,Moderate,SNOMED
233048003,Repair of atrioventricular septal defect with common valve orifice,atrioventricular septal defect,AVSD,Moderate,SNOMED
253449009,Abnormality of atrioventricular valve papillary muscle in common atrioventricular junction;Abnormality of common atrioventricular valve papillary muscle;Abnormality of atrioventricular valve papillary muscle in atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
253417009,Atrioventricular septal defect - ventricular component,atrioventricular septal defect,AVSD,Moderate,SNOMED
449189009,Mass associated with atrioventricular valve leaflet in atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
449388008,Abnormality of atrioventricular valve leaflet in atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
253418004,Atrioventricular septal defect - ventricular component under superior bridging leaflet,atrioventricular septal defect,AVSD,Moderate,SNOMED
449490008,Atrioventricular septal defect with atrioventricular valve regurgitation through right septal commissure,atrioventricular septal defect,AVSD,Moderate,SNOMED
718216009,Partial atrioventricular canal;Partial defect of atrioventricular canal,atrioventricular septal defect,AVSD,Moderate,SNOMED
449011000,Fenestration of atrioventricular valve leaflet in atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
10913003,Patch closure of endocardial cushion defect with repair of tricuspid cleft,atrioventricular septal defect,AVSD,Moderate,SNOMED
253420001,Atrioventricular septal defect - Rastelli B;Atrioventricular septal defect with ventricular component under superior bridging leaflet with chords to papillary muscle on right ventricular side septum,atrioventricular septal defect,AVSD,Moderate,SNOMED
15459006,"Endocardial cushion defects, unspecified;Endocardial cushion defect;Endocardial cushion defects NOS;Other specified endocardial cushion defects;Endocardial cushion defects NOS",atrioventricular septal defect,AVSD,Moderate,SNOMED
253431009,Hypoplasia of common atrioventricular valve,atrioventricular septal defect,AVSD,Moderate,SNOMED
253421002,Atrioventricular septal defect with ventricular component under free floating superior bridging leaflet and chords to papillary muscle at right ventricular free wall;Atrioventricular septal defect - Rastelli C,atrioventricular septal defect,AVSD,Moderate,SNOMED
448119006,Atrioventricular septal defect with atrioventricular valve regurgitation,atrioventricular septal defect,AVSD,Moderate,SNOMED
253439006,True cleft of atrioventricular valve leaflet in common atrioventricular junction;True cleft of common atrioventricular valve leaflet;True cleft of atrioventricular valve leaflet in atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
448184007,Atrioventricular septal defect with ventricular component and shunting under connecting tongue with separate orifices,atrioventricular septal defect,AVSD,Moderate,SNOMED
448822006,Deficiency of atrioventricular valve leaflet in atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
445299003,Atrioventricular septal defect with dominant right ventricle;Atrioventricular septal defect with ventricular imbalance consisting of dominant right ventricle and hypoplastic left ventricle,atrioventricular septal defect,AVSD,Moderate,SNOMED
5348003,Closure of endocardial cushion defect;Repair of endocardial cushion defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
174836000,Repair of defect of the atrioventricular septum;Primary repair of defect of atrioventricular septum NEC;Closure of defect of atrioventricular septum;AVSD - Atrioventricular septal defect repair;Close defect atrioventric septum using prosthetic patch NEC;Repair defect atrioventricular septum prosthetic patch NEC;Other specified closure of defect of atrioventricular septum;Closure of defect of atrioventricular septum NOS;Primary closure of defect of atrioventricular septum NEC;Other specified repair of defect of atrioventricular septum;Repair of defect of atrioventricular septum NOS,atrioventricular septal defect,AVSD,Moderate,SNOMED
449382009,Congenital abnormality of atrioventricular valve leaflet in atrioventricular septal defect,atrioventricular septal defect,AVSD,Moderate,SNOMED
47195003,Repair of persistent ostium primum;ASD - Repair of primum atrial septal defect;Repair of ostium primum defect;Closure of persistent ostium primum;Repair of atrioventricular septal defect: atrial component,atrioventricular septal defect,AVSD,Moderate,SNOMED
445264002,Atrioventricular septal defect with ventricular imbalance consisting of dominant left ventricle and hypoplastic right ventricle;Atrioventricular septal defect with dominant left ventricle,atrioventricular septal defect,AVSD,Moderate,SNOMED
722211006,"Patent ductus arteriosus, bicuspid aortic valve, hand anomaly syndrome",bicuspid aortic valve,BAV,Moderate,SNOMED
93069000,Congenital hypertrophy of aortic valve;Congenital enlarged aortic valve,aortic valve disease,AVD,Mild,SNOMED
703318003,Neoaortic valve stenosis,aortic stenosis,AS,Moderate,SNOMED
427515002,Critical stenosis of aortic valve,aortic stenosis,AS,Mild,SNOMED
250976004,Aortic cusp regurgitation;Aortic cusp disease,aortic regurgitation,AR,Mild,SNOMED
77696009,Double aortic valve,aortic valve disease,AVD,Mild,SNOMED
253607006,Hypoplasia of aortic valve cusp,aortic regurgitation,AR,Mild,SNOMED
194984004,"Aortic stenosis, non-rheumatic",aortic stenosis,AS,Mild,SNOMED
447937009,Congenital abnormality of aortic valve cusp,aortic valve disease,AVD,Mild,SNOMED
253611000,Quadricuspid aortic valve,aortic valve disease,AVD,Mild,SNOMED
92888002,Congenital misshapen aortic valve;Congenital abnormal shape of aortic valve,aortic valve disease,AVD,Mild,SNOMED
93237004,Congenital hypoplasia of aortic valve;Congenital small aortic valve,aortic stenosis,AS,Mild,SNOMED
448819009,Right-left orientation of bicuspid aortic valve,bicuspid aortic valve,BAV,Mild,SNOMED
233862006,Calcific congenital aortic stenosis,aortic stenosis,AS,Mild,SNOMED
194987006,Aortic valve stenosis with insufficiency,aortic valve disease,AVD,Mild,SNOMED
13689005,AV - Congenital aortic valve abnormality;Congenital anomaly of aortic valve;Congenital aortic valve abnormality,aortic valve disease,AVD,Mild,SNOMED
447822009,Congenital aortic valvar prolapse;Congenital prolapse of aortic valve,aortic regurgitation,AR,Mild,SNOMED
250973007,Aortic stenosis with doming,aortic stenosis,AS,Moderate,SNOMED
253676001,Postductal aortic stenosis,coarctation of aorta,COA,Moderate,SNOMED
72352009,Bicuspid aortic valve - congen;Bicuspid aortic valve,bicuspid aortic valve,BAV,Mild,SNOMED
253672004,Preductal aortic stenosis,coarctation of aorta,COA,Moderate,SNOMED
703323003,Aortic valve regurgitation due to aortic dilation;Aortic valve regurgitation secondary to aortic dilation,aortic regurgitation,AR,Mild,SNOMED
60573004,Aortic stenosis;Stenosed aortic valve;AS - Aortic stenosis;Aortic valve stenosis;Aortic valve stenosis,aortic stenosis,AS,Mild,SNOMED
448790004,Anterior-posterior orientation of bicuspid aortic valve,bicuspid aortic valve,BAV,Mild,SNOMED
276790000,Isolated aortic stenosis,aortic stenosis,AS,Mild,SNOMED
762253006,Common arterial trunk with pulmonary dominance and interrupted aortic arch;Common arterial trunk with pulmonary dominance co-occurrent with interrupted aortic arch,common arterial trunk,CAT,Severe,SNOMED
61959006,Common truncus arteriosus;Truncus arteriosus communis;Truncus arteriosus;Truncus arteriosus;Persistent truncus arteriosus;Common aortopulmonary trunk;Common arterial trunk (truncus arteriosus);Absent septum between aorta and pulmonary artery;Persistent truncus arteriosus;Persistent truncus arteriosus,common arterial trunk,CAT,Severe,SNOMED
85081000,"Common arterial trunk with widely separate pulmonary artery origins;Truncus arteriosus and widely separate origin of pulmonary arteries (Edwards Type III);Common arterial trunk and widely separate origin of pulmonary arteries;Type III common arterial trunk;""Truncus arteriosus, Edwards' type III""",common arterial trunk,CAT,Severe,SNOMED
73699003,"Truncus arteriosus, Edwards' type I;""Common outflow, separate pulmonary artery AND aorta"";Truncus arteriosus and common origin of pulmonary arteries (Edwards Type I);Common arterial trunk with common pulmonary artery origins;Common arterial trunk and common origin of pulmonary arteries;Type I common arterial trunk",common arterial trunk,CAT,Severe,SNOMED
17024001,Aortic septal defect;Aortopulmonary window;Aortic septal defect;Common aorto-pulmonary trunk;APW - Aortopulmonary window;Aortopulmonary septal defect;Aorticopulmonary window;Common aorto-pulmonary trunk NOS;AP - Aortopulmonary window;Aorticopulmonary septal defect;Common truncus,common arterial trunk,CAT,Severe,SNOMED
60106004,"Truncus arteriosus, Edwards' type II;Common arterial trunk with separate pulmonary artery origins;Type II common arterial trunk;Common arterial trunk and separate origin of pulmonary arteries;Truncus arteriosus and separate origin of pulmonary arteries (Edwards Type II);Main pulmonary artery arising from ascending aorta",common arterial trunk,CAT,Severe,SNOMED
448120000,Common truncus arteriosus with crossed over pulmonary arteries;Common arterial trunk with crossed over pulmonary arteries,common arterial trunk,CAT,Severe,SNOMED
447988007,Common truncus arteriosus with pulmonary arteries arising from trunk and unobstructed aortic arch;Common arterial trunk with pulmonary arteries arising from trunk and unobstructed aortic arch,common arterial trunk,CAT,Severe,SNOMED
61192001,Closure of aorticopulmonary fistula or fenestration;Obliteration of aortopulmonary septal defect;APW - Closure of aortopulmonary window;Aorticopulmonary window operation;Closure of aortopulmonary window;Repair of aorticopulmonary window,common arterial trunk,CAT,Severe,SNOMED
448887003,Common arterial trunk with isolated pulmonary artery,common arterial trunk,CAT,Severe,SNOMED
448809003,Common arterial trunk with obstruction of aortic arch;Common truncus arteriosus with obstruction of aortic arch,common arterial trunk,CAT,Severe,SNOMED
85041007,Formation of conduit of right ventricle and pulmonary artery in repair of pulmonary artery atresia in truncus arteriosus;Repair of common arterial trunk using right ventricle to pulmonary trunk conduit,common arterial trunk,CAT,Severe,SNOMED
253436004,Common atrioventricular valve stenosis,common atrioventricular valve,CAVV,Moderate,SNOMED
448308000,Right ventricular outflow tract obstruction due to common atrioventricular valve,common atrioventricular valve,CAVV,Severe,SNOMED
253451008,Absent common atrioventricular valve papillary muscle,common atrioventricular valve,CAVV,Moderate,SNOMED
472852000,Regurgitation of foetal common atrioventricular valve;Regurgitation of fetal common atrioventricular valve,common atrioventricular valve,CAVV,Moderate,SNOMED
253437008,Common atrioventricular valve leaflet abnormality,common atrioventricular valve,CAVV,Moderate,SNOMED
360481003,"Endocardial cushion defect, complete type;Atrioventricular canal type ventricular septal defect;Common atrioventricular canal",common atrioventricular valve,CAVV,Moderate,SNOMED
253432002,Mucoid thickening of common atrioventricular valve;Dysplasia of common atrioventricular valve,common atrioventricular valve,CAVV,Moderate,SNOMED
737155005,Congenital anomaly of atrioventricular valve,common atrioventricular valve,CAVV,Mild,SNOMED
253441007,Double orifice of common atrioventricular valve,common atrioventricular valve,CAVV,Moderate,SNOMED
253442000,Triple orifice of left ventricular component of common atrioventricular valve,common atrioventricular valve,CAVV,Moderate,SNOMED
253434001,Common atrioventricular valve limited to one ventricle,common atrioventricular valve,CAVV,Severe,SNOMED
472828007,"Disorder of atrioventricular (nonmitral, nontricuspid) valve;Disorder of atrioventricular (not morphologically mitral or tricuspid) valve",common atrioventricular valve,CAVV,Mild,SNOMED
253453006,Hypoplastic common atrioventricular valve papillary muscle,common atrioventricular valve,CAVV,Moderate,SNOMED
472853005,Stenosis of fetal common atrioventricular valve;Stenosis of foetal common atrioventricular valve,common atrioventricular valve,CAVV,Moderate,SNOMED
253427003,"Abnormality of atrioventricular (non-mitral, non-tricuspid) valve",common atrioventricular valve,CAVV,Mild,SNOMED
253435000,Dilatation of common atrioventricular valve annulus,common atrioventricular valve,CAVV,Moderate,SNOMED
253433007,Regurgitation of common atrioventricular valve,common atrioventricular valve,CAVV,Moderate,SNOMED
253450009,Parachute malformation of common atrioventricular valve,common atrioventricular valve,CAVV,Moderate,SNOMED
473458004,"Regurgitation of atrioventricular (nonmitral, nontricuspid) valve;Regurgitation of atrioventricular (not morphologically mitral or tricuspid) valve",common atrioventricular valve,CAVV,Mild,SNOMED
204330009,Common atrioventricular-type ventricular septal defect,common atrioventricular valve,CAVV,Moderate,SNOMED
253448001,Arcade abnormality of common atrioventricular valve chordae,common atrioventricular valve,CAVV,Moderate,SNOMED
609234009,Percutaneous transluminal closure of defect of cardiac septum;Percutaneous closure of cardiac septal defect,general classification,CHD,Mild,SNOMED
312207008,Reversal of procedure for complex congenital heart disease,general classification,CHD,Severe,SNOMED
127063008,Erythrocytosis due to cyanotic congenital heart disease,general classification,CHD,Severe,SNOMED
12770006,Cyanotic congenital heart disease,general classification,CHD,Severe,SNOMED
697905000,Pulmonary arterial hypertension associated with congenital heart disease,general classification,CHD,Severe,SNOMED
7305005,Coarctation of aorta;Coarctation;Coarctation of aorta NOS;Aortic coarctation,coarctation of aorta,COA,Moderate,SNOMED
253614008,Tubular hypoplasia of aorta,coarctation of aorta,COA,Moderate,SNOMED
25736000,Excision of coarctation of aorta with end-to-end anastomosis,coarctation of aorta,COA,Moderate,SNOMED
460918005,Abnormality within thorax due to coarctation of aorta,coarctation of aorta,COA,Moderate,SNOMED
447850009,Double aortic arch with right arch dominant and coarctation of left arch,coarctation of aorta,COA,Moderate,SNOMED
75145007,Aortic stricture;Stricture of aorta,coarctation of aorta,COA,Moderate,SNOMED
93384001,Congenital stenosis of aortic arch;Stenosis of aortic arch;Congenital narrowed aortic arch,coarctation of aorta,COA,Moderate,SNOMED
253674003,Preductal hypoplasia of aorta,coarctation of aorta,COA,Moderate,SNOMED
449271003,Residual coarctation of aorta,coarctation of aorta,COA,Moderate,SNOMED
72242008,Infantile type coarctation;Postductal coarctation of aorta,coarctation of aorta,COA,Moderate,SNOMED
