code,description,code_terminology
84871007,Acute rheumatic fever with valvulitis,SNOMED
312591002,Acute rheumatic heart disease,SNOMED
6.46091E+14,Acute rheumatic heart disease NOS,SNOMED
194709000,Acute rheumatic myocarditis,SNOMED
64072006,Acute rheumatic pancarditis,SNOMED
15676002,Acute rheumatic pericarditis,SNOMED
194917003,Acute staphylococcal pericarditis,SNOMED
194918008,Acute streptococcal pericarditis,SNOMED
2554006,Acute suppurative pericarditis,SNOMED
194907008,Acute syphilitic pericarditis,SNOMED
194908003,Acute tuberculous pericarditis,SNOMED
40959008,Acute viral pericarditis,SNOMED
6.12081E+14,Acute/subac. endocarditis NOS,SNOMED
65718001,Adenoviral myocarditis,SNOMED
56501009,Adherent rheumatic pericardium,SNOMED
37715009,Adhesive pericarditis,SNOMED
37715009,Adhesive pericarditis NOS,SNOMED
420395004,AIDS-associated acute endocarditis,SNOMED
187041005,American histoplasmosis with endocarditis,SNOMED
709930007,Anti-Encephalomyocarditis virus antibody,SNOMED
709930007,Antibody to Encephalomyocarditis virus,SNOMED
12232008,Aortic aneurysm - syphilitic,SNOMED
78031003,Aortic incompetence - rheumatic,SNOMED
20735004,Aortitis - syphilitic,SNOMED
472810005,Arrhythmia due to vegetation of infectious endocarditis,SNOMED
472810005,Arrhythmia due to vegetation of infective endocarditis,SNOMED
34336004,Aseptic myocarditis of newborn,SNOMED
460338001,Aspergillosis myocarditis,SNOMED
698465008,At risk of endocarditis,SNOMED
472809000,Atrioventricular block due to endocarditis,SNOMED
54072008,Atypical verrucal endocarditis,SNOMED
54072008,Atypical verrucous endocarditis,SNOMED
460457009,Bacterial constrictive pericarditis,SNOMED
301183007,Bacterial endocarditis,SNOMED
64043005,Bacterial myocarditis,SNOMED
233883000,Bacterial pericarditis,SNOMED
301183007,BE - Bacterial endocarditis,SNOMED
460620006,Borrelia myocarditis,SNOMED
63553008,Candidal endocarditis,SNOMED
460329003,Candidal myocarditis,SNOMED
472811009,Cardiovascular abnormality due to infectious myocarditis,SNOMED
472811009,Cardiovascular abnormality due to infective myocarditis,SNOMED
472808008,Cardiovascular fistula due to endocarditis,SNOMED
703119002,Carditis due to rheumatic fever,SNOMED
230732009,Cerebral arteritis in giant cell arteritis,SNOMED
3.4791E+13,Chest pain due to pericarditis,SNOMED
3.4791E+13,Chest pain of pericarditis,SNOMED
460618008,Chlamydial endocarditis,SNOMED
42999000,Chronic adhesive pericarditis,SNOMED
22462001,Chronic bacterial endocarditis,SNOMED
52535005,Chronic constrictive pericarditis,SNOMED
27017003,Chronic effusive pericarditis,SNOMED
4851007,Chronic endocarditis,SNOMED
111284004,Chronic inactive rheumatic heart disease,SNOMED
233886008,Chronic infective pericarditis,SNOMED
45093008,Chronic interstitial myocarditis,SNOMED
23627006,Chronic pericarditis,SNOMED
27017003,Chronic pericarditis with effusion,SNOMED
12023003,Chronic rheumatic aortic valve,SNOMED
286950001,Chronic rheumatic aortic valve disease,SNOMED
87648004,Chronic rheumatic carditis,SNOMED
46165000,Chronic rheumatic endocarditis,SNOMED
87648004,Chronic rheumatic heart diseas,SNOMED
87648004,Chronic rheumatic heart disease,SNOMED
87648004,Chronic rheumatic heart disease NOS,SNOMED
6.30511E+14,Chronic rheumatic heart disease NOS,SNOMED
46165000,Chronic rheumatic heart disease with endocarditis,SNOMED
61012002,Chronic rheumatic heart disease with myocarditis,SNOMED
89456004,Chronic rheumatic heart disease with valvulitis,SNOMED
90453003,Chronic rheumatic mediastinopericarditis,SNOMED
286947004,Chronic rheumatic mitral valve,SNOMED
11851006,Chronic rheumatic mitral valve,SNOMED
61012002,Chronic rheumatic myocarditis,SNOMED
756003,Chronic rheumatic myopericarditis,SNOMED
78069008,Chronic rheumatic pericarditis,SNOMED
78069008,Chronic rheumatic pericarditis NOS,SNOMED
89456004,Chronic rheumatic valvulitis,SNOMED
82523003,Congestive rheumatic heart failure,SNOMED
33258008,Constrictive endocarditis,SNOMED
85598007,Constrictive pericarditis,SNOMED
460457009,Constrictive pericarditis caused by bacteria,SNOMED
460464006,Constrictive pericarditis caused by Mycobacterium tuberculosis complex,SNOMED
460450006,Constrictive pericarditis caused by virus,SNOMED
460457009,Constrictive pericarditis due to bacteria,SNOMED
460464006,Constrictive pericarditis due to Mycobacterium tuberculosis complex,SNOMED
460450006,Constrictive pericarditis due to virus,SNOMED
85598007,Constrictive pericarditis NOS,SNOMED
88129004,Coxsackie endocarditis,SNOMED
37217002,Coxsackie myocarditis,SNOMED
413933004,Coxsackie myocarditis of newborn,SNOMED
27806003,Coxsackie pericarditis,SNOMED
233852004,Culture-negative endocarditis,SNOMED
15960000000000000,Dilatation of aortic root co-occurrent and due to Marfan syndrome,SNOMED
15960000000000000,Dilatation of aortic root co-occurrent and due to Marfan's syndrome,SNOMED
54830008,Dilated cardiomyopathy secondary to bacterial myocarditis,SNOMED
44630002,Dilated cardiomyopathy secondary to fungal myocarditis,SNOMED
2024009,Dilated cardiomyopathy secondary to metazoal myocarditis,SNOMED
40532006,Dilated cardiomyopathy secondary to protozoal myocarditis,SNOMED
30496006,Dilated cardiomyopathy secondary to viral myocarditis,SNOMED
26117009,Diphtheritic myocarditis,SNOMED
16055600000000000,Disorder of cardiovascular system co-occurrent and due to Marfan syndrome,SNOMED
16055600000000000,Disorder of cardiovascular system co-occurrent and due to Marfan's syndrome,SNOMED
23842007,Drug-induced pericarditis,SNOMED
460345001,Echovirus myocarditis,SNOMED
733457006,Ehlers-Danlos and osteogenesis imperfecta syndrome,SNOMED
398114001,Ehlers-Danlos syndrome,SNOMED
17025000,Ehlers-Danlos syndrome arterial type E-D,SNOMED
720860004,Ehlers-Danlos syndrome arthrogryposic type,SNOMED
720858001,Ehlers-Danlos syndrome cardiac valvular type,SNOMED
715318006,Ehlers-Danlos syndrome classic type,SNOMED
715318006,Ehlers-Danlos syndrome classical type,SNOMED
17025000,Ehlers-Danlos syndrome ecchymotic type E-D,SNOMED
720860004,Ehlers-Danlos syndrome Kosho type,SNOMED
720859009,Ehlers-Danlos syndrome kyphoscoliotic and deafness type,SNOMED
720859009,Ehlers-Danlos syndrome kyphoscoliotic and hearing loss type,SNOMED
718211004,Ehlers-Danlos syndrome kyphoscoliotic type,SNOMED
720860004,Ehlers-Danlos syndrome musculocontractural type,SNOMED
720861000,Ehlers-Danlos syndrome progeroid type,SNOMED
719096006,Ehlers-Danlos syndrome type 6B,SNOMED
55711009,Ehlers-Danlos syndrome type 7,SNOMED
50869007,Ehlers-Danlos syndrome type 8,SNOMED
59399004,Ehlers-Danlos syndrome type 9 X-linked,SNOMED
83470009,Ehlers-Danlos syndrome type I,SNOMED
20766005,Ehlers-Danlos syndrome type II,SNOMED
30652003,Ehlers-Danlos syndrome type III,SNOMED
17025000,Ehlers-Danlos syndrome type IV,SNOMED
67202007,Ehlers-Danlos syndrome type V,SNOMED
25606004,Ehlers-Danlos syndrome type VI,SNOMED
25606004,Ehlers-Danlos syndrome Type VI - ocular (recessive),SNOMED
50869007,Ehlers-Danlos syndrome type VIII,SNOMED
71322004,Ehlers-Danlos syndrome type XI,SNOMED
720862007,Ehlers-Danlos syndrome vascular-like type,SNOMED
720857006,Ehlers-Danlos syndrome with periventricular heterotopia,SNOMED
83586000,Ehlers-Danlos syndrome with platelet dysfunction,SNOMED
720859009,"Ehlers-Danlos syndrome with progressive kyphoscoliosis, myopathy, and deafness",SNOMED
4170004,"Ehlers-Danlos syndrome, autosomal dominant type 7",SNOMED
55711009,"Ehlers-Danlos syndrome, autosomal recessive type 7",SNOMED
30652003,"Ehlers-Danlos syndrome, benign hypermobile form",SNOMED
86667008,"Ehlers-Danlos syndrome, dominant type 4",SNOMED
83586000,"Ehlers-Danlos syndrome, dysfibronectinaemic",SNOMED
83586000,"Ehlers-Danlos syndrome, dysfibronectinemic",SNOMED
71322004,"Ehlers-Danlos syndrome, familial joint laxity type",SNOMED
83470009,"Ehlers-Danlos syndrome, gravis",SNOMED
25606004,"Ehlers-Danlos syndrome, hydroxylysine-deficient",SNOMED
25606004,"Ehlers-Danlos syndrome, lysyl hydroxylase deficient",SNOMED
59399004,"Ehlers-Danlos syndrome, mental retardation type",SNOMED
20766005,"Ehlers-Danlos syndrome, mild classic form",SNOMED
67202007,"Ehlers-Danlos syndrome, mild x-linked",SNOMED
20766005,"Ehlers-Danlos syndrome, mitis",SNOMED
4170004,"Ehlers-Danlos syndrome, mutant procollagen type 7",SNOMED
10033001,"Ehlers-Danlos syndrome, non hydroxylysine deficient ocular type",SNOMED
59399004,"Ehlers-Danlos syndrome, occipital horn type",SNOMED
50869007,"Ehlers-Danlos syndrome, periodontitis type",SNOMED
55711009,"Ehlers-Danlos syndrome, procollagen proteinase deficient",SNOMED
4170004,"Ehlers-Danlos syndrome, procollagen proteinase resistant",SNOMED
70610001,"Ehlers-Danlos syndrome, recessive type 4",SNOMED
83470009,"Ehlers-Danlos syndrome, severe classic form",SNOMED
83470009,"Ehlers-Danlos syndrome, type 1",SNOMED
83586000,"Ehlers-Danlos syndrome, type 10",SNOMED
71322004,"Ehlers-Danlos syndrome, type 11",SNOMED
20766005,"Ehlers-Danlos syndrome, type 2",SNOMED
30652003,"Ehlers-Danlos syndrome, type 3",SNOMED
17025000,"Ehlers-Danlos syndrome, type 4",SNOMED
67202007,"Ehlers-Danlos syndrome, type 5",SNOMED
31798004,"Ehlers-Danlos syndrome, type 6 phenotype with macrocephaly",SNOMED
50869007,"Ehlers-Danlos syndrome, type 8",SNOMED
59399004,"Ehlers-Danlos syndrome, type 9",SNOMED
59399004,"Ehlers-Danlos syndrome, x-linked skeletal type",SNOMED
88371005,Encephalomyocarditis virus,SNOMED
709930007,Encephalomyocarditis virus Ab,SNOMED
709930007,Encephalomyocarditis virus antibody,SNOMED
56819008,Endocarditis,SNOMED
194931003,Endocarditis - blastomycosis,SNOMED
88129004,Endocarditis - coxsackie,SNOMED
61048000,Endocarditis - gonococcal,SNOMED
34845009,Endocarditis - meningococcal,SNOMED
63553008,Endocarditis - monilial,SNOMED
95890006,Endocarditis - Q fever,SNOMED
194929007,Endocarditis - typhoid,SNOMED
472806007,Endocarditis as complication of procedure,SNOMED
195012000,Endocarditis associated with another disorder,SNOMED
720989003,Endocarditis caused by Erysipelothrix rhusiopathiae,SNOMED
460618008,Endocarditis caused by Genus Chlamydia,SNOMED
460618008,Endocarditis due to Genus Chlamydia,SNOMED
7.2181E+13,Endocarditis due to systemic lupus erythematosus,SNOMED
195012000,Endocarditis in disease EC,SNOMED
73774007,Endocarditis lenta,SNOMED
762539005,Endocarditis of neoaortic valve,SNOMED
762540007,Endocarditis of neopulmonary valve,SNOMED
703189006,Endocarditis of prosthetic aortic valve,SNOMED
703179007,Endocarditis of prosthetic mitral valve,SNOMED
703191003,Endocarditis of prosthetic pulmonary valve,SNOMED
703190002,Endocarditis of prosthetic tricuspid valve,SNOMED
62703006,Endocarditis with infective aneurysm,SNOMED
5.83021E+14,"Endocarditis, valve unspecified",SNOMED
89736004,"Endocarditis, valve unspecified, NOS",SNOMED
6.39601E+14,"Endocarditis, valve unspecified, NOS",SNOMED
89736004,"Endocarditis, valve unspecified, OS",SNOMED
427372006,Eosinophilic myocarditis,SNOMED
720989003,Erysipelothrix rhusiopathiae endocarditis,SNOMED
74381009,Familial pericarditis,SNOMED
429978009,Family history of endocarditis,SNOMED
439154009,Family history of myocarditis,SNOMED
472707009,Fetal myocarditis,SNOMED
488007,Fibroid myocarditis,SNOMED
91025000,Fiedler's myocarditis,SNOMED
472707009,Foetal myocarditis,SNOMED
86348002,Fungal endocarditis,SNOMED
233868005,Fungal myocarditis,SNOMED
44595001,Fungal pericarditis,SNOMED
414341000,Giant cell arteritis,SNOMED
414341000,Giant cell arteritis NOS,SNOMED
239938009,Giant cell arteritis with polymyalgia rheumatica,SNOMED
239939001,Giant cell arteritis without polymyalgia rheumatica,SNOMED
60812006,Giant cell myocarditis,SNOMED
266238009,Giant cell myocarditis,SNOMED
61048000,Gonococcal endocarditis,SNOMED
90428001,Gonococcal pericarditis,SNOMED
161500008,H/O: rheumatic fever,SNOMED
460439008,Haemophilus pericarditis,SNOMED
123597005,Healed bacterial endocarditis,SNOMED
703274008,Heart failure with reduced ejection fraction due to myocarditis,SNOMED
187041005,Histoplasma capsulatum with endocarditis,SNOMED
187040006,Histoplasma capsulatum with pericarditis,SNOMED
187051006,Histoplasma duboisii with endocarditis,SNOMED
187050007,Histoplasma duboisii with pericarditis,SNOMED
187041005,Histoplasmosis endocarditis,SNOMED
187041005,Histoplasmosis with endocarditis,SNOMED
187059008,Histoplasmosis with pericarditis,SNOMED
428287001,History of endocarditis,SNOMED
3.28201E+14,History of giant cell arteritis,SNOMED
6.81211E+14,History of myocarditis,SNOMED
2.85741E+14,History of pericarditis,SNOMED
61558009,Hydralazine-induced pericarditis,SNOMED
91025000,Idiopathic myocarditis,SNOMED
46701001,Idiopathic myocarditis NOS,SNOMED
766704005,Idiopathic recurrent pericarditis,SNOMED
766704005,Idiopathic relapsing pericarditis,SNOMED
233850007,IE - Infective endocarditis,SNOMED
723865005,Infection causing myoendocarditis,SNOMED
723864009,Infection causing subacute endocarditis,SNOMED
459184006,Infectious constrictive pericarditis,SNOMED
461416009,Infectious endocarditis at site of implanted vascular shunt,SNOMED
459174005,Infectious endocarditis at site of interatrial communication,SNOMED
460490009,Infectious endocarditis at site of patch of interatrial communication,SNOMED
460358000,Infectious endocarditis at site of patch of ventricular septal defect,SNOMED
459172009,Infectious endocarditis at site of ventricular septal defect,SNOMED
459068007,Infectious endocarditis of aortic valve,SNOMED
459067002,Infectious endocarditis of cardiac valve,SNOMED
459178008,Infectious endocarditis of common atrioventricular valve,SNOMED
459059005,Infectious endocarditis of heterograft,SNOMED
459058002,Infectious endocarditis of homograft,SNOMED
459158000,Infectious endocarditis of left atrioventricular (not morphologically mitral) valve,SNOMED
459061001,Infectious endocarditis of left ventricular wall,SNOMED
459152004,Infectious endocarditis of mitral valve,SNOMED
459153009,Infectious endocarditis of pulmonary valve,SNOMED
459159008,Infectious endocarditis of right atrioventricular (not morphologically tricuspid) valve,SNOMED
459060000,Infectious endocarditis of right ventricular wall,SNOMED
459151006,Infectious endocarditis of tricuspid valve,SNOMED
459154003,Infectious endocarditis of truncal valve,SNOMED
461429009,Infectious endocarditis of vascular cardiac conduit,SNOMED
41739008,Infectious pericarditis,SNOMED
459184006,Infective constrictive pericarditis,SNOMED
233850007,Infective endocarditis,SNOMED
461416009,Infective endocarditis at site of implanted vascular shunt,SNOMED
459174005,Infective endocarditis at site of interatrial communication,SNOMED
460490009,Infective endocarditis at site of patch of interatrial communication,SNOMED
460358000,Infective endocarditis at site of patch of ventricular septal defect,SNOMED
459172009,Infective endocarditis at site of ventricular septal defect,SNOMED
459068007,Infective endocarditis of aortic valve,SNOMED
459067002,Infective endocarditis of cardiac valve,SNOMED
459178008,Infective endocarditis of common atrioventricular valve,SNOMED
459059005,Infective endocarditis of heterograft,SNOMED
459058002,Infective endocarditis of homograft,SNOMED
459158000,Infective endocarditis of left atrioventricular (nonmitral) valve,SNOMED
459158000,Infective endocarditis of left atrioventricular (not morphologically mitral) valve,SNOMED
459061001,Infective endocarditis of left ventricular wall,SNOMED
459152004,Infective endocarditis of mitral valve,SNOMED
459153009,Infective endocarditis of pulmonary valve,SNOMED
459159008,Infective endocarditis of right atrioventricular (nontricuspid) valve,SNOMED
459159008,Infective endocarditis of right atrioventricular (not morphologically tricuspid) valve,SNOMED
459060000,Infective endocarditis of right ventricular wall,SNOMED
459151006,Infective endocarditis of tricuspid valve,SNOMED
459154003,Infective endocarditis of truncal valve,SNOMED
461429009,Infective endocarditis of vascular cardiac conduit,SNOMED
22653005,Infective myocarditis,SNOMED
723865005,Infective myoendocarditis,SNOMED
41739008,Infective pericarditis,SNOMED
723088005,Infective periendocarditis,SNOMED
37925008,Interstitial myocarditis,SNOMED
266238009,Isolated (Fiedler's) myocarditis,SNOMED
55482007,Isolated diffuse granulomatous myocarditis,SNOMED
708075001,KOH preparation,SNOMED
33258008,LÃ¶ffler's endocarditis,SNOMED
33258008,LÃ¶ffler's parietal fibroplastic endocarditis,SNOMED
12232008,Late quaternary syphilitic aortic aneurysm,SNOMED
61612001,Late quaternary syphilitic aortic regurgitation,SNOMED
20735004,Late quaternary syphilitic aortitis,SNOMED
423718003,Left sided infective endocarditis,SNOMED
54072008,Libman-Sacks endocarditis,SNOMED
186318004,Listerial endocarditis,SNOMED
427443009,Lymphocytic myocarditis,SNOMED
44051003,Malignant endocarditis,SNOMED
57181007,Marantic endocarditis,SNOMED
19346006,Marfan syndrome,SNOMED
19346006,Marfan's disease,SNOMED
19346006,Marfan's syndrome,SNOMED
74918002,Measles myocarditis,SNOMED
398114001,Meekeren-Ehlers-Danlos syndrome,SNOMED
34845009,Meningococcal endocarditis,SNOMED
91468009,Meningococcal myocarditis,SNOMED
194950003,Meningococcal myocarditis,SNOMED
66704002,Meningococcal pericarditis,SNOMED
31085000,Mitral incompetence - rheumatic,SNOMED
79619009,Mitral stenosis,SNOMED
11851006,Mitral valve disease,SNOMED
63462008,Mumps myocarditis,SNOMED
86348002,Mycotic endocarditis,SNOMED
44595001,Mycotic pericarditis,SNOMED
50920009,Myocarditis,SNOMED
275512002,Myocarditis - virus unidentified,SNOMED
421929001,Myocarditis associated with acquired immunodeficiency syndrome,SNOMED
421929001,Myocarditis associated with AIDS,SNOMED
1240530000000000,Myocarditis caused by 2019 novel coronavirus,SNOMED
1240530000000000,Myocarditis caused by 2019-nCoV (novel coronavirus),SNOMED
1240530000000000,Myocarditis caused by 2019-nCoV (novel coronavirus),SNOMED
1.42981E+14,Myocarditis caused by avian influenza,SNOMED
72527006,Myocarditis caused by drug,SNOMED
460345001,Myocarditis caused by echovirus,SNOMED
460338001,Myocarditis caused by Genus Aspergillus,SNOMED
460620006,Myocarditis caused by Genus Borrelia,SNOMED
460329003,Myocarditis caused by Genus Candida,SNOMED
460317007,Myocarditis caused by Genus Rickettsia,SNOMED
1.42951E+14,Myocarditis caused by H1N1 influenza,SNOMED
10629400000000000,Myocarditis caused by influenza A,SNOMED
1.42951E+14,Myocarditis caused by Influenza A virus subtype H1N1,SNOMED
78046005,Myocarditis caused by influenza virus,SNOMED
460352004,Myocarditis caused by Order Spirochaetales,SNOMED
79096004,Myocarditis caused by physical agent,SNOMED
88782004,Myocarditis caused by radiation,SNOMED
1240530000000000,Myocarditis caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),SNOMED
1240530000000000,Myocarditis caused by Wuhan 2019-nCoV (novel coronavirus),SNOMED
713318009,Myocarditis co-occurrent with human immunodeficiency virus infection,SNOMED
76534005,Myocarditis due to acquired toxoplasmosis,SNOMED
1.42981E+14,Myocarditis due to avian influenza,SNOMED
55087008,Myocarditis due to chemical agent,SNOMED
1240530000000000,Myocarditis due to COVID-19,SNOMED
1240530000000000,Myocarditis due to disease caused by 2019 novel coronavirus,SNOMED
1240530000000000,Myocarditis due to disease caused by 2019-nCoV (novel coronavirus),SNOMED
1240530000000000,Myocarditis due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),SNOMED
1240530000000000,Myocarditis due to disease caused by Severe acute respiratory syndrome coronavirus 2,SNOMED
72527006,Myocarditis due to drug,SNOMED
460345001,Myocarditis due to echovirus,SNOMED
460338001,Myocarditis due to Genus Aspergillus,SNOMED
460620006,Myocarditis due to Genus Borrelia,SNOMED
460329003,Myocarditis due to Genus Candida,SNOMED
460317007,Myocarditis due to Genus Rickettsia,SNOMED
1.42951E+14,Myocarditis due to H1N1 influenza,SNOMED
8676001,Myocarditis due to hypersensitivity state,SNOMED
22653005,Myocarditis due to infectious agent,SNOMED
10629400000000000,Myocarditis due to influenza A,SNOMED
1.42951E+14,Myocarditis due to Influenza A virus subtype H1N1,SNOMED
78046005,Myocarditis due to influenza virus,SNOMED
460352004,Myocarditis due to Order Spirochaetales,SNOMED
79096004,Myocarditis due to physical agent,SNOMED
88782004,Myocarditis due to radiation,SNOMED
1089930000000000,Myocarditis due to scarlet fever,SNOMED
723863003,Myopericarditis,SNOMED
763839005,Neonatal Marfan syndrome,SNOMED
28386007,Neoplastic secondary pericarditis,SNOMED
57181007,Non-bacterial thrombotic endocarditis,SNOMED
81376009,Non-infectious pericarditis,SNOMED
5.83021E+14,Non-rheum. endocarditis NOS,SNOMED
6.39601E+14,Non-rheum. endocarditis NOS,SNOMED
57181007,Nonbacterial thrombotic endocarditis,SNOMED
54072008,Nonbacterial verrucous endocarditis,SNOMED
36135007,Noninfective endocarditis,SNOMED
194989009,"Nonrheumatic tricuspid valve disorder, unspecified",SNOMED
194992008,Nonrheumatic tricuspid valve stenosis with insufficiency,SNOMED
55482007,Nonspecific granulomatous myocarditis,SNOMED
111300007,Obliterative pericarditis,SNOMED
46701001,Other acute myocarditis,SNOMED
46701001,Other acute myocarditis NOS,SNOMED
312591002,Other acute rheumatic heart disease,SNOMED
312591002,Other acute rheumatic heart disease NOS,SNOMED
15555002,Other and unspecified acute pericarditis,SNOMED
6.54281E+14,Other and unspecified rheumatic heart disease,SNOMED
23685000,Other and unspecified rheumatic heart disease,SNOMED
6.53341E+14,Other chronic rheumatic endocardial disease,SNOMED
46165000,Other chronic rheumatic endocardial disease,SNOMED
6.54271E+14,Other chronic rheumatic heart,SNOMED
23685000,Other rheumatic heart disease NOS,SNOMED
6.30501E+14,Other rheumatic heart disease NOS,SNOMED
87648004,Other specified chronic rheumatic heart disease,SNOMED
6.54271E+14,Other specified chronic rheumatic heart disease,SNOMED
62185008,Pancarditis,SNOMED
233869002,Parasitic myocarditis,SNOMED
28966002,Parasitic pericarditis,SNOMED
3238004,Pericarditis,SNOMED
89222008,Pericarditis associated with atrial septal defect,SNOMED
111301006,Pericarditis associated with familial Mediterranean fever,SNOMED
65447009,Pericarditis associated with infectious mononucleosis,SNOMED
43742007,Pericarditis associated with severe chronic anaemia,SNOMED
43742007,Pericarditis associated with severe chronic anemia,SNOMED
45304001,Pericarditis caused by deposits of cholesterol,SNOMED
460439008,Pericarditis caused by Genus Haemophilus,SNOMED
460439008,Pericarditis caused by Genus Hemophilus,SNOMED
712859002,Pericarditis caused by toxin,SNOMED
46676000,Pericarditis co-occurrent and due to benign primary tumor,SNOMED
46676000,Pericarditis co-occurrent and due to benign primary tumour,SNOMED
76541004,Pericarditis co-occurrent and due to chylopericardium,SNOMED
58474006,Pericarditis co-occurrent and due to collagen vascular disease,SNOMED
111301006,Pericarditis co-occurrent and due to familial Mediterranean fever,SNOMED
